Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Seats,Price,New Price in Lakhs,Mileage in km/kg,Engine in CC,Power in bhp,Diesel Fuel,Petrol Fuel,Manual Transmission,Automatic Transmission,Kilometers per year
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,5.0,12.5,23.281830466830467,23.14117647058824,1582,126.2,1,0,1,0,4100.0
2,Honda Jazz V,Chennai,2011,46000,First,5.0,4.5,8.61,13.0,1199,88.7,0,1,1,0,3285.714285714286
3,Maruti Ertiga VDI,Chennai,2012,87000,First,7.0,6.0,23.281830466830467,24.435294117647057,1248,88.76,1,0,1,0,6692.307692307692
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,5.0,17.74,23.281830466830467,17.88235294117647,1968,140.8,1,0,0,1,3389.1666666666665
6,Nissan Micra Diesel XV,Jaipur,2013,86999,First,5.0,3.5,23.281830466830467,27.152941176470588,1461,63.1,1,0,1,0,7249.916666666667
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,8.0,17.5,21.0,13.364705882352942,2755,171.5,1,0,0,1,4000.0
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,5.0,5.2,23.281830466830467,24.16470588235294,1598,103.6,1,0,1,0,5369.166666666667
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,5.0,1.95,23.281830466830467,26.23529411764706,1248,74.0,1,0,1,0,5071.692307692308
10,Maruti Ciaz Zeta,Kochi,2018,25692,First,5.0,9.95,10.65,28.746666666666666,1462,103.25,0,1,1,0,3670.285714285714
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,5.0,4.49,23.281830466830467,22.400000000000002,1497,116.3,0,1,0,1,4615.384615384615
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,5.0,5.6,23.281830466830467,29.647058823529413,1248,74.0,1,0,1,0,6442.4
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,5.0,27.0,23.281830466830467,14.941176470588236,2179,187.7,1,0,0,1,6545.454545454545
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,5.0,17.5,23.281830466830467,0.0,2179,115.0,1,0,0,1,6538.461538461538
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,7.0,15.0,32.01,15.882352941176471,2477,175.56,1,0,1,0,10000.0
16,Honda Amaze S i-Dtech,Kochi,2016,58950,First,5.0,5.4,23.281830466830467,30.35294117647059,1498,98.6,1,0,1,0,6550.0
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,5.0,5.99,23.281830466830467,33.411764705882355,1248,74.0,1,0,1,0,3125.0
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,5.0,6.34,23.281830466830467,24.058823529411764,1461,83.8,1,0,1,0,7042.636363636364
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,5.0,28.0,23.281830466830467,17.458823529411767,2143,167.62,1,0,0,1,7136.363636363636
20,BMW 3 Series 320d,Kochi,2014,32982,First,5.0,18.55,47.87,26.694117647058825,1995,190.0,1,0,0,1,2998.3636363636365
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,5.0,8.25,23.281830466830467,27.823529411764707,1248,88.5,1,0,1,0,5539.2
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,5.0,23.5,23.281830466830467,18.04,1984,177.01,0,1,0,1,5598.5
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,5.0,1.87,23.281830466830467,24.666666666666668,1197,80.0,0,1,1,0,3053.8
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,5.0,2.85,23.281830466830467,19.2,1598,103.6,0,1,0,1,2200.0
25,Honda City Corporate Edition,Mumbai,2012,51920,First,5.0,4.25,23.281830466830467,22.400000000000002,1497,116.3,0,1,1,0,3993.846153846154
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,5.0,4.25,23.281830466830467,16.48,1461,63.1,1,0,1,0,4153.846153846154
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,5.0,2.75,23.281830466830467,27.893333333333334,998,67.1,0,1,1,0,4500.0
28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,5.0,9.9,10.57,23.333333333333332,1199,88.7,0,1,1,0,5347.142857142857
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,7.0,4.0,23.281830466830467,15.058823529411766,2494,102.0,1,0,1,0,14555.555555555555
